Subject Name,Condition,Number of Draws,Trials per Draw,Frequency,PLV**2: bootstrapped mean,PLV**2: bootstrapped variance,Spectrum: bootstrapped mean,Spectrum: bootstrapped variance,Noise floor PLV**2: bootstrapped mean,Noise floor PLV**2: bootstrapped variance,Noise floor Spectrum: bootstrapped mean,Noise floor Spectrum: bootstrapped variance
subj001,1,100,250,70.80078125,0.00734969596364,9.24596630634e-06,0.119843504452,0.00190063934656,0.00521296749286,6.10551162243e-06,0.0785411499791,0.00157814494685
subj001,1,100,250,73.2421875,0.00766316475139,1.07284077059e-05,0.570044230751,0.0491242089361,0.00521949384223,5.48393435338e-06,0.413928667795,0.0307865928346
subj001,1,100,250,75.68359375,0.00791490623062,7.07682678803e-06,1.41657114481,0.255334085613,0.00557696253331,4.32311545687e-06,0.997056674205,0.103984492429
subj001,1,100,250,78.125,0.00808249994584,5.37891323949e-06,2.22166165531,0.426542262147,0.00549870146834,3.94937876255e-06,1.5803231519,0.236045012638
subj001,1,100,250,80.56640625,0.00834149015561,6.52572118132e-06,2.91883671542,0.594519096717,0.00565020522284,4.23791393766e-06,2.07015435594,0.369678891351
subj001,1,100,250,83.0078125,0.0086728902978,7.38335922315e-06,3.11706261985,0.784704936429,0.00586607317626,4.58048649181e-06,2.17119240217,0.344880431137
subj001,1,100,250,85.44921875,0.0087729991015,7.09945888255e-06,3.14569106662,0.624009321101,0.00576792465202,5.68482976373e-06,2.07208739935,0.428666801923
subj001,1,100,250,87.890625,0.00870248686669,5.94557356968e-06,3.12612939806,0.641697505722,0.00574595255617,5.21355659976e-06,1.97050379515,0.388151530509
subj001,1,100,250,90.33203125,0.00832628580647,5.56143214943e-06,2.89975537381,0.644396856299,0.00564820631611,4.71174173179e-06,1.88413890235,0.322840493814
subj001,1,100,250,92.7734375,0.00980545207565,1.10552313769e-05,3.16023151172,0.995947353194,0.00535831441778,2.60613630763e-06,1.75411770149,0.182157555989
subj001,1,100,250,95.21484375,0.0123985932755,1.34422354389e-05,3.29259749809,0.836700649559,0.00537111161976,3.48388502247e-06,1.74386117472,0.197557519012
subj001,1,100,250,97.65625,0.0163604007317,1.49560088636e-05,4.09507287097,1.02323810888,0.00535356131922,4.15277135952e-06,1.6963591643,0.241422052219
subj001,1,100,250,100.09765625,0.0164137920171,1.5850083226e-05,4.05584087302,0.81907886157,0.00548668010929,4.74454347834e-06,1.72271350088,0.22271817813
subj001,1,100,250,102.5390625,0.0149603541125,1.38146314862e-05,3.69669546857,0.712853058974,0.00541220144033,2.94482111902e-06,1.61330702469,0.167378666656
subj001,1,100,250,104.98046875,0.00777184782041,3.95970468959e-06,2.14889989633,0.259721316849,0.00546064700826,2.88263487066e-06,1.55718018266,0.17844684327
subj001,1,100,250,107.421875,0.00752667818617,4.3205136605e-06,2.182689654,0.310207803269,0.00550712560219,2.65270835584e-06,1.53396367699,0.178437860699
subj001,1,100,250,109.86328125,0.00747950365629,4.99782408562e-06,2.11429391781,0.312900557061,0.00570620623627,4.44480119927e-06,1.51668174414,0.186112311349
subj001,1,100,250,112.3046875,0.00834787795703,7.18014362544e-06,2.25097486108,0.422696651485,0.00557731859014,6.14280397278e-06,1.45775832973,0.182346670775
subj001,1,100,250,114.74609375,0.00765125433103,5.94691948939e-06,1.92470104606,0.296960237355,0.00550551681147,7.25654569092e-06,1.36562179722,0.200420957155
subj001,1,100,250,117.1875,0.00838447206003,7.59746471587e-06,1.94063824645,0.338509751429,0.00535456345083,5.08402584903e-06,1.31128219273,0.175192286561
subj001,1,100,250,119.62890625,0.00821868997028,5.59805885642e-06,1.92852864493,0.250967260962,0.00551816029043,2.92214944444e-06,1.29692076345,0.132458911719
subj001,1,100,250,122.0703125,0.00793979475176,6.61023244226e-06,1.88511826625,0.237546761389,0.00540920545708,3.32082495106e-06,1.25615003263,0.144622783446
subj001,1,100,250,124.51171875,0.00687576358371,4.3386544799e-06,1.7826545938,0.195038120093,0.00568559847054,3.56400738005e-06,1.25995667103,0.12499398028
subj001,1,100,250,126.953125,0.00761412080414,6.06369991233e-06,1.87940565887,0.197558043918,0.00581565911194,4.46065412193e-06,1.20364604565,0.117428828267
subj001,1,100,250,129.39453125,0.00793167409769,6.08539847969e-06,1.75768562407,0.180212218021,0.005874282184,4.68087298033e-06,1.20285083303,0.118336086059
subj001,1,100,250,131.8359375,0.00831432451106,7.49037243884e-06,1.70942640434,0.250150837099,0.00563153795687,4.34728854292e-06,1.10383495296,0.108918709661
subj001,1,100,250,134.27734375,0.00919568037442,9.07423968132e-06,1.76116466789,0.22482793068,0.00558982014212,3.77414314012e-06,1.09958691615,0.107683365782
subj001,1,100,250,136.71875,0.0081548068551,5.91163447394e-06,1.56647295852,0.16777912561,0.00552214377487,2.68156530521e-06,1.02136361926,0.08099510528
subj001,1,100,250,139.16015625,0.00830852232378,5.87636321522e-06,1.62046095729,0.148466816564,0.00563490696373,2.56759182876e-06,1.00242764267,0.0684379884237
subj001,1,100,250,141.6015625,0.00751138187995,4.62103895719e-06,1.52590254762,0.149070022099,0.00550370745271,2.22396013583e-06,0.961126365559,0.0606566483671
subj001,1,100,250,144.04296875,0.00692909127727,3.44126072253e-06,1.36162188687,0.113472020649,0.00565218910225,2.74572540641e-06,0.951173441215,0.069424017111
subj001,1,100,250,146.484375,0.00717003589325,3.98167336645e-06,1.24590392587,0.0995000262048,0.00564729512613,3.24079962457e-06,0.917604424706,0.0699879752636
subj001,1,100,250,148.92578125,0.0077894951204,5.22872513676e-06,1.30912966751,0.0985259372402,0.00522166455454,2.26136942269e-06,0.829328355796,0.042656636245
subj001,1,100,250,151.3671875,0.00791920307703,6.8480968039e-06,1.16049965191,0.095226484307,0.00522420449568,2.07045243616e-06,0.793128610442,0.0378939996035
subj001,1,100,250,153.80859375,0.00802874775609,6.86342052865e-06,1.12198610823,0.0968571186367,0.00519043770596,2.85440861756e-06,0.765445258981,0.0436737447712
subj001,1,100,250,156.25,0.00714775635652,3.28538393142e-06,1.06029704615,0.0493812027262,0.00533538338874,3.25351680573e-06,0.748169104433,0.0479938350031
subj001,1,100,250,158.69140625,0.00734408855902,3.46721821992e-06,1.08390959801,0.0629730271451,0.00526711285238,3.21804681876e-06,0.735835519477,0.0448765720746
subj001,1,100,250,161.1328125,0.00850274440357,5.93091529259e-06,1.20817094742,0.0982200114568,0.00517876459534,2.45686150606e-06,0.71188751286,0.0346229235348
subj001,1,100,250,163.57421875,0.00878981060028,6.68408042419e-06,1.17763470581,0.101680325876,0.00529195680775,2.95564498277e-06,0.712436433225,0.034358862971
subj001,1,100,250,166.015625,0.0105025860005,9.77652533539e-06,1.28187266252,0.110882978147,0.00527526740817,3.17025358792e-06,0.680620305144,0.0308311637271
subj001,1,100,250,168.45703125,0.00926246790971,7.81975621806e-06,1.14956526819,0.0843826593206,0.00529966458137,3.43700024727e-06,0.684176095298,0.0384234542501
subj001,1,100,250,170.8984375,0.00932330439192,7.96892538551e-06,1.09128622585,0.0688205202282,0.00533932950172,2.53048252301e-06,0.674562731597,0.0338158269362
subj001,1,100,250,173.33984375,0.00837023860302,6.15319542971e-06,1.04369945198,0.0635390767095,0.00524052952048,2.80248645721e-06,0.651160316072,0.0300444906101
subj001,1,100,250,175.78125,0.00845334378746,4.82428882532e-06,1.5665797927,0.172452374604,0.00522072443157,3.04000944945e-06,0.976434191981,0.136826611382
subj001,1,100,250,178.22265625,0.00773626976864,4.67283003513e-06,1.95532696941,0.507248981137,0.00512534028203,3.74179830243e-06,1.27813069499,0.455789926784
subj001,1,100,250,180.6640625,0.00739139452102,4.5509995481e-06,1.95313072711,0.563362875756,0.00522088187917,3.64102757092e-06,1.31458690906,0.511128867214
subj001,1,100,250,183.10546875,0.00858138586771,6.80685685479e-06,2.04303685309,0.628624543157,0.00500468519471,3.4463838501e-06,1.27098278551,0.510899092748
subj001,1,100,250,185.546875,0.00923310534379,7.21871579195e-06,0.946536248515,0.0524519157461,0.00552422050653,3.10282617148e-06,0.58982365027,0.0289670442149
subj001,1,100,250,187.98828125,0.0099173041744,8.45246626362e-06,0.93103408303,0.0532897287188,0.00541598225762,2.99707403436e-06,0.544176162954,0.0224814802699
subj001,1,100,250,190.4296875,0.00861266395751,6.246281142e-06,0.803725277372,0.0403406982553,0.00536743100905,2.49824811841e-06,0.517377819355,0.015817219482
subj001,1,100,250,192.87109375,0.00903292054939,8.37294617779e-06,0.796315078561,0.0443714235015,0.00533915975094,2.81862111742e-06,0.505465916483,0.0151363624876
subj001,1,100,250,195.3125,0.0105642720683,1.09192614114e-05,0.901087526669,0.0561257572962,0.00529284739315,2.84356266513e-06,0.502310364673,0.0181986745664
subj001,1,100,250,197.75390625,0.0124973918921,1.38894542465e-05,1.05056022853,0.0792987832574,0.00530780233606,2.41268892537e-06,0.501362140315,0.0155859890755
subj001,1,100,250,200.1953125,0.0117247282072,9.60430597836e-06,0.969030566515,0.0579663816702,0.00530810390884,2.36096403953e-06,0.491468145337,0.0146537202223
subj001,1,100,250,202.63671875,0.0113196394381,1.12551062467e-05,0.906797770252,0.0597137485069,0.0053930183611,2.14425660404e-06,0.480519992463,0.0122917243272
subj001,1,100,250,205.078125,0.00748838367327,4.9429434011e-06,0.680644309124,0.0256834594526,0.00562391562415,3.63501290234e-06,0.483507911038,0.0187825279131
subj001,1,100,250,207.51953125,0.00772921483051,5.31614514451e-06,0.698346296217,0.0283784903892,0.00564324563747,3.13556685969e-06,0.470986618132,0.0148964211717
subj001,1,100,250,209.9609375,0.00785777033178,5.83648193872e-06,0.68960969086,0.0276952171408,0.00565035114885,3.75874701681e-06,0.467071492625,0.0184229781416
subj001,1,100,250,212.40234375,0.0082498340521,5.67012141851e-06,0.671291435954,0.0280781889162,0.00539245977258,3.41174506618e-06,0.428798636396,0.0146476300931
subj001,1,100,250,214.84375,0.00737799763614,2.95760799867e-06,0.567845902746,0.0124792177674,0.00520378379646,2.459784381e-06,0.410425890585,0.0115567831105
subj001,1,100,250,217.28515625,0.00777576054858,4.02381137193e-06,0.565463908633,0.0153148615266,0.00560000808566,2.72128282239e-06,0.419538504441,0.0129973187647
subj001,1,100,250,219.7265625,0.00811835470241,4.69939788451e-06,0.57063778578,0.0166886549246,0.00562960710276,3.2333104032e-06,0.411754977685,0.0142519670848
subj001,1,100,250,222.16796875,0.00811547629721,3.90747254434e-06,0.559101775587,0.0144726844706,0.00554333071761,3.10470641548e-06,0.398902928787,0.012161730551
subj001,1,100,250,224.609375,0.00771519175977,3.81717406882e-06,0.540744662823,0.012489941229,0.00556316032621,2.8970135627e-06,0.392355414635,0.0108240846278
subj001,1,100,250,227.05078125,0.00792035823431,4.86303045907e-06,0.556098958652,0.0159444172307,0.00533018625878,2.48634989786e-06,0.376175680687,0.00841522905684
subj001,1,100,250,229.4921875,0.00753763702475,3.67286525397e-06,0.533131204684,0.0136096866181,0.0054653982211,2.17879002008e-06,0.378838612455,0.00753506583146
subj001,1,100,250,231.93359375,0.0082415515859,5.3968207551e-06,0.547423902441,0.0171300752698,0.00543406667643,2.75027328656e-06,0.370286968579,0.00850075354751
subj001,1,100,250,234.375,0.00845455403601,5.17254345394e-06,0.539488913318,0.0155058017189,0.00520734606256,2.49806413258e-06,0.341768869636,0.00767718079049
subj001,1,100,250,236.81640625,0.00886886971145,6.35720569325e-06,0.575159293082,0.0203585314849,0.00529622313263,2.20011985292e-06,0.350881760663,0.00774658223254
